/home/xchen/GANs/DCGAN-PyTorch/samples/1104_cifar10_10kepochs_hatano

[(9200, 80.03665139141242),
 (9600, 80.65744667520744),
 (7000, 80.90392996128168),
 (9000, 80.93484002291575),
 (9100, 81.18126243708895),
 (9400, 81.55766740216956),
 (8100, 81.67166657838055),
 (9800, 81.78541588318944),
 (8900, 81.8379002859487),
 (7700, 81.86333757418998),
 (8800, 82.02002455813971),
 (9500, 82.13910655053826),
 (9700, 82.25938650530964),
 (8200, 82.3330583936256),
 (8700, 82.54589579951181),
 (7800, 82.67137022578765),
 (8600, 82.95029442578561),
 (8400, 83.31324200444328),
 (8500, 83.57029907160154),
 (7400, 83.6848040292681),
 (7900, 83.71417425154834),
 (6900, 83.9748592596946),
 (6500, 84.0191918630677),
 (7300, 84.24969180893288),
 (6700, 84.91861264648253),
 (8000, 85.08949673081958),
 (7600, 85.09547283799861),
 (6400, 85.34591610171009),
 (6600, 86.10465653100107),
 (7100, 86.22494009410406),
 (6000, 86.24145154805859),
 (8300, 86.58066964865975),
 (6800, 86.60774949285445),
 (9900, 86.62362870073497),
 (9300, 86.87231999176646),
 (6300, 86.96192299301174),
 (5400, 87.18173054842214),
 (7200, 87.50943093080957),
 (7500, 87.92344035018539),
 (6200, 88.01604989936459),
 (5200, 88.8927537768767),
 (5700, 89.20417042545978),
 (3800, 89.7448215840082),
 (6100, 89.92597796276345),
 (5500, 90.01408766694834),
 (3500, 90.09594714829558),
 (5900, 90.20311414606243),
 (5600, 91.24701889185326),
 (5800, 91.54822761483473),
 (4900, 91.8222391489112),
 (3600, 91.85231991768842),
 (5100, 92.10224763052656),
 (3700, 92.1225375905779),
 (4500, 92.2662782874437),
 (3400, 93.25038704353148),
 (3100, 93.78052186850607),
 (3000, 94.29408096589191),
 (5000, 94.35815699322171),
 (3300, 94.49553019753034),
 (4700, 95.04625992866113),
 (4600, 95.29174850701071),
 (3200, 95.7208359130762),
 (5300, 95.7517460594463),
 (2900, 96.5029136391031),
 (2600, 96.83000018418227),
 (2500, 97.28450408608427),
 (2700, 98.08536058982975),
 (2800, 98.13141477008031),
 (4800, 99.78009780097517),
 (4400, 100.82037673096994),
 (4300, 101.64228220067292),
 (2200, 104.91463012594204),
 (2000, 105.73156456425966),
 (2100, 106.00894217114467),
 (2300, 106.7325055031813),
 (2400, 109.20050836706514),
 (1900, 112.70333308514358),
 (1800, 115.81158326761908),
 (1700, 118.12944281436222),
 (4200, 126.4794822637707),
 (1500, 136.6867861406334),
 (1600, 137.32680546728335),
 (1400, 140.51239656838902),
 (1300, 146.67422672636587),
 (4100, 152.7488550361254),
 (1200, 161.9174883554315),
 (1100, 171.93601668067265),
 (900, 183.22748199924146),
 (1000, 186.97931122201024),
 (700, 216.20940714393862),
 (600, 217.41960631005972),
 (800, 217.46314695051677),
 (4000, 244.3306366536336),
 (500, 247.88713849404766),
 (100, 252.86330836457427),
 (200, 287.9545092839111),
 (400, 289.46485863876995),
 (300, 292.120467974086),
 (3900, 305.82953818917474),
 (0, 464.3691955062019)]
