/home/xchen/GANs/DCGAN-PyTorch/samples/1126_mnist_100kepochs_hatano

[(8600, 63.92100717411358),
 (18300, 64.54481085163235),
 (9300, 64.6175117320112),
 (9200, 64.74002499285655),
 (8100, 65.77178237928109),
 (7600, 66.99429732941618),
 (8300, 67.06471744902478),
 (20200, 67.38398272013566),
 (7500, 67.78993317054707),
 (27400, 67.83042749947987),
 (29500, 68.00624824605117),
 (17000, 68.20427563381827),
 (22500, 68.64695838498085),
 (33000, 68.66120133719977),
 (31400, 68.74507060266046),
 (24500, 68.77624840748064),
 (17900, 68.89393480748237),
 (14100, 69.04423168618914),
 (12000, 69.4932678368493),
 (19000, 69.53633047486522),
 (22200, 69.68631023598485),
 (15400, 69.69700964460884),
 (30300, 69.76608877841355),
 (6700, 69.84055445970148),
 (6400, 70.03156738454433),
 (17300, 70.03551448644097),
 (26000, 70.18955429418426),
 (13100, 70.41040639260072),
 (24100, 70.69378038932149),
 (7000, 70.71967393801737),
 (8500, 70.73402728850436),
 (32200, 70.86914372881873),
 (21200, 70.88979851853497),
 (18100, 70.92890234243109),
 (31500, 70.95314153245914),
 (7700, 71.0791000289752),
 (3900, 71.08851178777002),
 (4800, 71.14918487377724),
 (33900, 71.42561882378914),
 (27700, 71.43005590112872),
 (20000, 71.57382928662628),
 (25900, 71.7451473491154),
 (4000, 71.96263110296084),
 (27300, 72.08704989547115),
 (25500, 72.2812050037557),
 (33500, 72.31326159783117),
 (22600, 72.31395708581016),
 (5400, 72.38954640954273),
 (28700, 72.40013828738498),
 (3400, 72.52552556192774),
 (24000, 72.54952866512721),
 (25800, 72.5716139182546),
 (23200, 72.59895748977866),
 (13300, 72.67540940531396),
 (9100, 72.82976225901069),
 (21800, 73.10746983217356),
 (22300, 73.11082354868842),
 (19400, 73.11455153538844),
 (13600, 73.31342740466386),
 (33600, 73.3297368415626),
 (18400, 73.51762672341533),
 (12800, 73.66009713875837),
 (6200, 73.83767724896273),
 (28200, 73.87961439328694),
 (20600, 73.92667650576482),
 (18900, 73.96434542470942),
 (4500, 73.9919460248903),
 (7200, 74.0151833201499),
 (22700, 74.11146541490973),
 (7800, 74.20877598046064),
 (20100, 74.25570471929143),
 (8200, 74.2607218591726),
 (4200, 74.33027722640952),
 (16500, 74.39337299690129),
 (8400, 74.46025719362973),
 (8800, 74.5229013737696),
 (27600, 74.52455783755426),
 (17200, 74.52594358245949),
